original,corrected,reference,notes
Hypholoma fasciculare var. fasciculare,Hypholoma fasciculare var. fasciculare,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hypholoma%20fasciculare%20var.%20fasciculare&spKey=NHMSYS0019999620
Hypholoma fasciculare var. pusillum,Hypholoma fasciculare var. pusillum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hypholoma%20fasciculare%20var.%20pusillum&spKey=BMSSYS0000008621
Hypoxylon cohaerens var. microsporum,Hypoxylon cohaerens var. microsporum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Hypoxylon%20cohaerens%20var.%20microsporum&spKey=NHMSYS0001485126
Inocybe bongardii var. pisciodora,Inocybe bongardii var. pisciodora,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20bongardii%20var.%20pisciodora&spKey=BMSSYS0000008854
Inocybe cincinnata var. cincinnata,Inocybe cincinnata var. cincinnata,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20cincinnata%20var.%20cincinnata&spKey=NHMSYS0001485318
Inocybe cincinnata var. major,Inocybe cincinnata var. major,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20cincinnata%20var.%20major&spKey=NHMSYS0001485319
Inocybe corydalina var. corydalina,Inocybe corydalina var. corydalina,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20corydalina%20var.%20corydalina&spKey=NHMSYS0001485323
Inocybe fuscidula var. bisporigera,Inocybe fuscidula var. bisporigera,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20fuscidula%20var.%20bisporigera&spKey=BMSSYS0000038147
Inocybe fuscidula var. fuscidula,Inocybe fuscidula var. fuscidula,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20fuscidula%20var.%20fuscidula&spKey=NHMSYS0001485364
Inocybe geophylla var. geophylla,Inocybe geophylla var. geophylla,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20geophylla%20var.%20geophylla&spKey=NHMSYS0001485367
Inocybe geophylla var. lilacina,Inocybe geophylla var. lilacina,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20geophylla%20var.%20lilacina&spKey=NHMSYS0001485369
Inocybe hirtella var. bispora,Inocybe hirtella var. bispora,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20hirtella%20var.%20bispora&spKey=NHMSYS0001442804
Inocybe hirtella var. hirtella,Inocybe hirtella var. hirtella,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20hirtella%20var.%20hirtella&spKey=NHMSYS0001485383
Inocybe lacera var. helobia,Inocybe lacera var. helobia,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20lacera%20var.%20helobia&spKey=NHMSYS0001442807
Inocybe lacera var. lacera,Inocybe lacera var. lacera,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20lacera%20var.%20lacera&spKey=NHMSYS0001485390
Inocybe lacera var. rhacodes,Inocybe lacera var. rhacodes,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20lacera%20var.%20rhacodes&spKey=BMSSYS0000008906
Inocybe lanuginosa var. lanuginosa,Inocybe lanuginosa var. lanuginosa,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20lanuginosa%20var.%20lanuginosa&spKey=NHMSYS0001485397
Inocybe lanuginosa var. ovatocystis,Inocybe lanuginosa var. ovatocystis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20lanuginosa%20var.%20ovatocystis&spKey=BMSSYS0000038159
Inocybe splendens var. phaeoleuca,Inocybe splendens var. phaeoleuca,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20splendens%20var.%20phaeoleuca&spKey=NHMSYS0001485467
Inocybe splendens var. splendens,Inocybe splendens var. splendens,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Inocybe%20splendens%20var.%20splendens&spKey=BMSSYS0000008951
Lachnum bicolor var. rubi,Lachnum bicolor var. rubi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lachnum%20bicolor%20var.%20rubi&spKey=BMSSYS0000009211
Lachnum carneolum var. longisporum,Lachnum carneolum var. longisporum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lachnum%20carneolum%20var.%20longisporum&spKey=NHMSYS0001485917
Lachnum fuscescens var. fagicola,Lachnum fuscescens var. fagicola,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lachnum%20fuscescens%20var.%20fagicola&spKey=NHMSYS0001485933
Lachnum fuscescens var. fuscescens,Lachnum fuscescens var. fuscescens,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lachnum%20fuscescens%20var.%20fuscescens&spKey=NHMSYS0001485934
Lachnum nudipes var. minor,Lachnum nudipes var. minor,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lachnum%20nudipes%20var.%20minor&spKey=BMSSYS0000009250
Lachnum palearum var. niger,Lachnum palearum var. niger,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lachnum%20palearum%20var.%20niger&spKey=NHMSYS0001485946
Lactarius flexuosus var. flexuosus,Lactarius flexuosus var. flexuosus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lactarius%20flexuosus%20var.%20flexuosus&spKey=NHMSYS0001486040
Lactarius flexuosus var. roseozonatus,Lactarius flexuosus var. roseozonatus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lactarius%20flexuosus%20var.%20roseozonatus&spKey=NHMSYS0001486041
Lactarius vellereus var. hometii,Lactarius vellereus var. hometii,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lactarius%20vellereus%20var.%20hometii&spKey=NHMSYS0001486108
Lactarius vellereus var. vellereus,Lactarius vellereus var. vellereus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lactarius%20vellereus%20var.%20vellereus&spKey=NBNSYS0000038398
Lepiota cortinarius var. audreae,Lepiota cortinarius var. audreae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lepiota%20cortinarius%20var.%20audreae&spKey=BMSSYS0000010196
Lepiota cortinarius var. cortinarius,Lepiota cortinarius var. cortinarius,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lepiota%20cortinarius%20var.%20cortinarius&spKey=NHMSYS0001487199
Lepiota echinella var. echinella,Lepiota echinella var. echinella,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lepiota%20echinella%20var.%20echinella&spKey=NHMSYS0001487212
Lepiota echinella var. rhodorhiza,Lepiota echinella var. rhodorhiza,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lepiota%20echinella%20var.%20rhodorhiza&spKey=NHMSYS0001487214
Leptosphaeria culmifraga var. propinqua,Leptosphaeria culmifraga var. propinqua,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Leptosphaeria%20culmifraga%20var.%20propinqua&spKey=BMSSYS0000010416
Leratiomyces squamosus var. squamosus,Leratiomyces squamosus var. squamosus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Leratiomyces%20squamosus%20var.%20squamosus&spKey=NHMSYS0020535635
Leucoagaricus melanotrichus var. melanotrichus,Leucoagaricus melanotrichus var. melanotrichus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Leucoagaricus%20melanotrichus%20var.%20melanotrichus&spKey=NHMSYS0001487767
Limacella delicata var. delicata,Limacella delicata var. delicata,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Limacella%20delicata%20var.%20delicata&spKey=NHMSYS0001488412
Limacella delicata var. glioderma,Limacella delicata var. glioderma,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Limacella%20delicata%20var.%20glioderma&spKey=NHMSYS0001488413
Limacella delicata var. vinosorubescens,Limacella delicata var. vinosorubescens,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Limacella%20delicata%20var.%20vinosorubescens&spKey=NHMSYS0001488414
Lophiostoma alpigenum var. juncinum,Lophiostoma alpigenum var. juncinum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lophiostoma%20alpigenum%20var.%20juncinum&spKey=BMSSYS0000010742
Lophiostoma fuckelii var. fuckelii,Lophiostoma fuckelii var. fuckelii,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lophiostoma%20fuckelii%20var.%20fuckelii&spKey=NHMSYS0001488516
Lophiostoma fuckelii var. pulveraceum,Lophiostoma fuckelii var. pulveraceum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lophiostoma%20fuckelii%20var.%20pulveraceum&spKey=NHMSYS0001488517
Lophiostoma origani var. rubidum,Lophiostoma origani var. rubidum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Lophiostoma%20origani%20var.%20rubidum&spKey=NHMSYS0001488525
Macrolepiota procera var. procera,Macrolepiota procera var. procera,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Macrolepiota%20procera%20var.%20procera&spKey=NHMSYS0001488780
Macrolepiota procera var. pseudo-olivascens,Macrolepiota procera var. pseudo-olivascens,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Macrolepiota%20procera%20var.%20pseudo-olivascens&spKey=NHMSYS0001488781
Macrotyphula fistulosa var. contorta,Macrotyphula fistulosa var. contorta,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Macrotyphula%20fistulosa%20var.%20contorta&spKey=NHMSYS0001488802
Macrotyphula fistulosa var. fistulosa,Macrotyphula fistulosa var. fistulosa,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Macrotyphula%20fistulosa%20var.%20contorta&spKey=NHMSYS0001488803
Melampsora epitea var. epitea,Melampsora epitea var. epitea,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Melampsora%20epitea%20var.%20epitea&spKey=NHMSYS0001489049
Melampsora epitea var. reticulatae,Melampsora epitea var. reticulatae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Melampsora%20epitea%20var.%20reticulatae&spKey=NHMSYS0001489050
Melampsora lini var. lini,Melampsora lini var. lini,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Melampsora%20lini%20var.%20lini&spKey=NHMSYS0001489064
Melampsora lini var. liniperda,Melampsora lini var. liniperda,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Melampsora%20lini%20var.%20liniperda&spKey=NHMSYS0001489065
Melanoleuca cognata var. cognata,Melanoleuca cognata var. cognata,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Melanoleuca%20cognata%20var.%20cognata&spKey=NHMSYS0001489174
Melanoleuca cognata var. nauseosa,Melanoleuca cognata var. nauseosa,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Melanoleuca%20cognata%20var.%20nauseosa&spKey=NHMSYS0001489175
Melanoleuca exscissa var. exscissa,Melanoleuca exscissa var. exscissa,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Melanoleuca%20exscissa%20var.%20exscissa&spKey=NHMSYS0001489179
Melanoleuca exscissa var. iris,Melanoleuca exscissa var. iris,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Melanoleuca%20exscissa%20var.%20iris&spKey=NHMSYS0001489180
Micromphale brassicolens var. brassicolens,Micromphale brassicolens var. brassicolens,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Micromphale%20brassicolens%20var.%20brassicolens&spKey=NHMSYS0001489519
Micromphale brassicolens var. pallidus,Micromphale brassicolens var. pallidus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Micromphale%20brassicolens%20var.%20pallidus&spKey=NHMSYS0001489520
Microscypha ellisii var. eriophori,Microscypha ellisii var. eriophori,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Microscypha%20ellisii%20var.%20eriophori&spKey=NBNSYS0000017530
Microthyrium ciliatum var. ciliatum,Microthyrium ciliatum var. ciliatum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Microthyrium%20ciliatum%20var.%20ciliatum&spKey=NHMSYS0001489621
Microthyrium ciliatum var. hederae,Microthyrium ciliatum var. hederae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Microthyrium%20ciliatum%20var.%20hederae&spKey=NHMSYS0001489622
Microthyrium cytisi var. cytisi,Microthyrium cytisi var. cytisi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Microthyrium%20cytisi%20var.%20cytisi&spKey=NHMSYS0001489625
Microthyrium cytisi var. ulicis,Microthyrium cytisi var. ulicis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Microthyrium%20cytisi%20var.%20ulicis&spKey=NHMSYS0001489626
Microthyrium cytisi var. ulicis-gallii,Microthyrium cytisi var. ulicis-gallii,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Microthyrium%20cytisi%20var.%20ulicis-gallii&spKey=NHMSYS0001489627
Mollisia discolor var. longispora,Mollisia discolor var. longispora,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Mollisia%20discolor%20var.%20longispora&spKey=NBNSYS0000017561
Mollisia polygoni var. rumicis,Mollisia polygoni var. rumicis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Mollisia%20polygoni%20var.%20rumicis&spKey=NHMSYS0001489808
Muellerella pygmaea var. athallina,Muellerella pygmaea var. athallina,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Muellerella%20pygmaea%20var.%20athallina&spKey=BMSSYS0000011629
Mycena adonis var. adonis,Mycena adonis var. adonis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Mycena%20adonis%20var.%20adonis&spKey=BMSSYS0000011637
Mycena adonis var. coccinea,Mycena adonis var. coccinea,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Mycena%20adonis%20var.%20coccinea&spKey=NHMSYS0001490014
Mycena galopus var. candida,Mycena galopus var. candida,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Mycena%20galopus%20var.%20candida&spKey=NHMSYS0001490149
Mycena galopus var. galopus,Mycena galopus var. galopus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Mycena%20galopus%20var.%20galopus&spKey=BMSSYS0000011685
Mycena galopus var. nigra,Mycena galopus var. nigra,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Mycena%20galopus%20var.%20nigra&spKey=NHMSYS0001490151
Mycosphaerella cf. aspidii,Mycosphaerella cf. aspidii,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Mycosphaerella%20cf.%20aspidii&spKey=NHMSYS0001490374
Nectria mammoidea var. mammoidea,Nectria mammoidea var. mammoidea,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Nectria%20mammoidea%20var.%20mammoidea&spKey=BMSSYS0000011983
Nectria mammoidea var. rubi,Nectria mammoidea var. rubi,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Nectria%20mammoidea%20var.%20rubi&spKey=NBNSYS0000018040
Nectria punicea var. ilicis,Nectria punicea var. ilicis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Nectria%20punicea%20var.%20ilicis&spKey=NHMSYS0001490714
Omphalina galericolor var. galericolor,Omphalina galericolor var. galericolor,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Omphalina%20galericolor%20var.%20galericolor&spKey=NHMSYS0019999791
Omphalina galericolor var. lilacinicolor,Omphalina galericolor var. lilacinicolor,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Omphalina%20galericolor%20var.%20lilacinicolor&spKey=BMSSYS0000012358
Orobanche minor var. compositarum,Orobanche minor var. compositarum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Orobanche%20minor%20var.%20compositarum&spKey=NBNSYS0000004775
Orobanche minor var. flava,Orobanche minor var. flava,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Orobanche%20minor%20var.%20flava&spKey=NBNSYS0000004776
Orobanche minor var. maritima,Orobanche minor var. maritima,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Orobanche%20minor%20var.%20maritima&spKey=NHMSYS0020755134
Orobanche minor var. minor,Orobanche minor var. minor,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Orobanche%20minor%20var.%20minor&spKey=NHMSYS0020704596
Panaeolus papilionaceus var. papilionaceus,Panaeolus papilionaceus var. papilionaceus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Panaeolus%20papilionaceus%20var.%20papilionaceus&spKey=BMSSYS0000012628
Panaeolus papilionaceus var. parvisporus,Panaeolus papilionaceus var. parvisporus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Panaeolus%20papilionaceus%20var.%20parvisporus&spKey=BMSSYS0000012629
Panaeolus semiovatus var. phalaenarum,Panaeolus semiovatus var. phalaenarum,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Panaeolus%20semiovatus%20var.%20phalaenarum&spKey=BMSSYS0000012630
Panaeolus semiovatus var. semiovatus,Panaeolus semiovatus var. semiovatus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Panaeolus%20semiovatus%20var.%20semiovatus&spKey=NHMSYS0001491665
Peronospora farinosa f.sp. betae,Peronospora farinosa f.sp. betae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Peronospora%20farinosa%20f.sp.%20betae&spKey=NHMSYS0001492229
Peronospora farinosa f.sp. spinaciae,Peronospora farinosa f.sp. spinaciae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Peronospora%20farinosa%20f.sp.%20spinaciae&spKey=NHMSYS0001492230
Peronospora potentillae var. gei,Peronospora potentillae var. gei,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Peronospora%20potentillae%20var.%20gei&spKey=NHMSYS0001492248
Pestalotiopsis guepinii var. macrotricha,Pestalotiopsis guepinii var. macrotricha,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Pestalotiopsis%20guepinii%20var.%20macrotricha&spKey=NHMSYS0001492331
Phaeosphaeria avenaria f.sp. avenaria,Phaeosphaeria avenaria f.sp. avenaria,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phaeosphaeria%20avenaria%20f.sp.%20avenaria&spKey=NHMSYS000149304
Phaeosphaeria avenaria f.sp. triticae,Phaeosphaeria avenaria f.sp. triticae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phaeosphaeria%20avenaria%20f.sp.%20triticae&spKey=NHMSYS000149304
Phallus impudicus var. impudicus,Phallus impudicus var. impudicus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phallus%20impudicus%20var.%20impudicus&spKey=NHMSYS0019999839
Phallus impudicus var. togatus,Phallus impudicus var. togatus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phallus%20impudicus%20var.%20togatus&spKey=NHMSYS0001493103
Pholiota alnicola var. alnicola,Pholiota alnicola var. alnicola,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Pholiota%20alnicola%20var.%20alnicola&spKey=NHMSYS0001493264
Pholiota alnicola var. salicicola,Pholiota alnicola var. salicicola,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Pholiota%20alnicola%20var.%20salicicola&spKey=NHMSYS0001493265
Phoma exigua var. foveata,Phoma exigua var. foveata,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phoma%20exigua%20var.%20foveata&spKey=BMSSYS0000013951
Phoma exigua var. linicola,Phoma exigua var. linicola,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phoma%20exigua%20var.%20linicola&spKey=BMSSYS0000013953
Phoma medicaginis var. medicaginis,Phoma medicaginis var. medicaginis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phoma%20medicaginis%20var.%20medicaginis&spKey=BMSSYS0000013993
Phomopsis achilleae var. asteris,Phomopsis achilleae var. asteris,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phomopsis%20achilleae%20var.%20asteris&spKey=BMSSYS0000014076
Phomopsis achilleae var. senecionis,Phomopsis achilleae var. senecionis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phomopsis%20achilleae%20var.%20senecionis&spKey=BMSSYS0000014077
Phyllosticta destructiva var. menyanthis,Phyllosticta destructiva var. menyanthis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phyllosticta%20destructiva%20var.%20menyanthis&spKey=BMSSYS0000014254
Phytophthora fragariae var. fragariae,Phytophthora fragariae var. fragariae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Phytophthora%20fragariae%20var.%20fragariae&spKey=NHMSYS0019999858
Pilobolus crystallinus var. crystallinus,Pilobolus crystallinus var. crystallinus,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Pilobolus%20crystallinus%20var.%20crystallinus&spKey=NHMSYS0001493781
Pilobolus crystallinus var. kleinii,Pilobolus crystallinus var. kleinii,BIO_INFO,Found at;  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Pilobolus%20crystallinus%20var.%20kleinii&spKey=BMSSYS0000014476
Pilobolus lentiger var. lentiger,Pilobolus lentiger var. lentiger,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Pilobolus%20lentiger%20var.%20lentiger&spKey=NHMSYS0001493783
Podosphaera clandestina var. aucupariae,Podosphaera clandestina var. aucupariae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Podosphaera%20clandestina%20var.%20aucupariae&spKey=NHMSYS0001494314
Podosphaera clandestina var. clandestina,Podosphaera clandestina var. clandestina,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Podosphaera%20clandestina%20var.%20clandestina&spKey=NHMSYS0001494315
Psathyrella artemisiae var. artemisiae,Psathyrella artemisiae var. artemisiae,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Psathyrella%20artemisiae%20var.%20artemisiae&spKey=NHMSYS0001495015
Psathyrella artemisiae var. microspora,Psathyrella artemisiae var. microspora,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Psathyrella%20artemisiae%20var.%20microspora&spKey=BMSSYS0000015371
Psathyrella fulvescens var. brevicystis,Psathyrella fulvescens var. brevicystis,BIO_INFO,Found at:  http://data.nbn.org.uk/speciesInfo/taxonomy.jsp?searchTerm=Psathyrella%20fulvescens%20var.%20brevicystis&spKey=NHMSYS0001495076
Psathyrella fulvescens var. fulvescens,Psathyrella fulvescens var. fulvescens,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Psathyrella%20fulvescens%20var.%20fulvescens&spKey=NHMSYS0001495077
Psathyrella obtusata var. aberrans,Psathyrella obtusata var. aberrans,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Psathyrella%20obtusata%20var.%20aberrans&spKey=BMSSYS0000015402
Psathyrella obtusata var. obtusata,Psathyrella obtusata var. obtusata,BIO_INFO,Found at;  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Psathyrella%20obtusata%20var.%20obtusata&spKey=NHMSYS0001495105
Psathyrella prona f. prona,Psathyrella prona f. prona,BIO_INFO,Found at:  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Psathyrella%20prona%20f.%20prona&spKey=NHMSYS0001495116
Pseudocercosporella herpotrichoides var. acuformis,Pseudocercosporella herpotrichoides var. acuformis,BIO_INFO,Found at;  http://www.searchnbn.net/speciesInfo/taxonomy.jsp?searchTerm=Pseudocercosporella%20herpotrichoides%20var.%20acuformis&spKey=NHMSYS0020819593
