original,corrected,reference,notes
Lutjanus mahagoni,Lutjanus mahogoni,EOL; js,probably a spelling error
Mithrax cinctimanus,Mithraculus cinctimanus,EOL; js,Name reported by contributor is invalid
Mithrax coryphe,Mithraculus coryphe,EOL; js,Name reported by contributor is invalid
Mithrax ruber,Mithraculus ruber,EOL; js,Name reported by contributor is invalid
Mithrax sculptus,Mithraculus sculptus,EOL; js,Name reported by contributor is invalid
Mycetophyllia lamarckana,Mycetophyllia lamarckiana,EOL; js,probably a spelling error or change in spelling by taxonomists
slime molds,Myxogastria,EOL; js,There are other groups in the slime molds.
Nemertines,Nemertea,Wikipedia; js,a phylum of invertebrate animals also known as 'ribbon worms' or 'proboscis worms'.[3] Alternative names for the phylum have included Nemertini  Nemertinea and Rhynchocoela
Oculina valenciennesii,Oculina valenciennesi,EOL,js
Oncaea meditteranea,Oncaea mediterranea,EOL; js,probably a spelling error or change in spelling by taxonomists
Parycyathus defilippi,Paracyathus defilippi,EOL; js,probably a spelling error or change in spelling by taxonomists
Parapinnixa bouvier,Parapinnixa bouvieri ,EOL; js,probably a spelling error or change in spelling by taxonomists
limpets,Patellogastropoda,Wikipedia,js
Petrolishtes galathinus,Petrolisthes galathinus,EOL; js,probably a spelling error or change in spelling by taxonomists
Pitar fulminata,Pitar fulminatus,EOL; js,probably a spelling error or change in spelling by taxonomists
Pitho iherminieri,Pitho lherminieri,EOL; js,probably a spelling error or change in spelling by taxonomists
Platydoris augustipes,Platydoris angustipes,EOL; js,probably a spelling error or change in spelling by taxonomists
Rotatoria,Rotifera,Wikipedia; js,a phylum of microscopic and near-microscopic pseudocoelomate animals
Spheciosponia vesparium,Spheciospongia vesparium,EOL; js,probably a spelling error or change in spelling by taxonomists
Homoptera,Sternorrhyncha,ITIS; js,two names appear in ITIS for this taxa
Diplodus caudimaculata,Strongylura strongylura,WoRMS; js,Invalid name provided by the contributor
Synalpheus fritzmulleri,Synalpheus fritzmuelleri,EOL; js,probably a spelling error or change in spelling by taxonomists
Synalpheus pandionensis,Synalpheus pandionis,EOL; js,probably a spelling error or change in spelling by taxonomists
Tritonopsis frydis,Tritoniopsis frydis,EOL; js,probably a spelling error or change in spelling by taxonomists
Turbo caillettii,Turbo cailletii,EOL; js,probably a spelling error or change in spelling by taxonomists
Verongia gigantea,Verongula gigantea,EOL; js,probably a spelling error or change in spelling by taxonomists
Verongula ardia,Verongula ardis,EOL; js,
S. enflata,Sagitta enflata,ITIS; js,
Oligoceras violacea,Oligoceras violacea,http://www.organismnames.com/namedetails.htm?lsid=30532,js
Myiatropa,Myiatropa,http://zipcodezoo.com/Key/Animalia/Myiatropa_Genus.asp,
Medusae,Medusozoa,EOL; js,
Pseudocertina crassa,Aiolochroia crassa,ITIS; WoRMS,genus transfer
Corophiidae Genus A,Corophiidae,,
