original_id,original_name,corrected_id,corrected_name
GLOBI:COPEPODITE,copepodites,http://purl.obolibrary.org/obo/UBERON_0014860,copepodite stage
GLOBI:COPEPODITE,COPEPODITE,http://purl.obolibrary.org/obo/UBERON_0014860,copepodite stage
,copepod,http://purl.obolibrary.org/obo/UBERON_0014860,copepodite stage
GOMEXSI:copepedites,copepedites,GLOBI:COPEPODITE,COPEPODITE
,Cercariae,http://purl.obolibrary.org/obo/UBERON_0018388,cercaria
,cercaria,http://purl.obolibrary.org/obo/UBERON_0018388,cercaria
BIO_INFO:caterpillar,caterpillar,UBERON:0000069,larval stage
GLOBI:calyptopis,calyptopis,http://purl.obolibrary.org/obo/UBERON_0014857,zoea stage
,Budding,http://purl.obolibrary.org/obo/PO_0025528,bud developmental stage
BIO_INFO:anamorph,anamorph,GLOBI:ANAMORPH,ANAMORPH
BIO_INFO:aecium,aecium,GLOBI:AECIUM,AECIUM
GOMEXSI:adults,adults,UBERON:0000113,post-juvenile adult stage
,adults,UBERON:0000113,adult organism
,Adult(s),UBERON:0000113,adult organism
,adult?,UBERON:0000113,adult organism
,adult;;,UBERON:0000113,adult organism
,adult male,UBERON:0000113,adult organism
,adult female,UBERON:0000113,adult organism
GOMEXSI:adult,adult,UBERON:0000113,post-juvenile adult stage
BIO_INFO:adult,adult,UBERON:0000113,post-juvenile adult stage
BARNES:adult,adult,UBERON:0000113,post-juvenile adult stage
BARNES:Adult,Adult,UBERON:0000113,post-juvenile adult stage
,adult,UBERON:0000113,adult organism
,Adult,UBERON:0000113,adult organism
,Adult,UBERON:0000113,adult organism
,adolescaria,http://purl.obolibrary.org/obo/UBERON_0000069,larval stage
GOMEXSI:a,a,UBERON:0000113,post-juvenile adult stage
,A,UBERON:0000113,adult organism
,1 Pupa,http://purl.obolibrary.org/obo/UBERON_0003143,pupa
,1 adult,UBERON:0000113,adult organism
,1 Adult,UBERON:0000113,adult organism
