System	NodeID	SpeciesID	StageID	Stage	SpeciesID.StageID	WorkingName	OrganismalGroup	NodeType	Resolution	ResolutionNotes	Feeding	Lifestyle(stage)	Lifestyle(species)	ConsumerStrategy(stage)	HabitatAffiliation	Mobility	Residency	NativeStatus	BodySize(g)	BodySizeSD	BodySizeN	BodySizeEstimation	BodySizeNotes	Abundance(no./ha)	Abundance95%CL	AbundanceDF	Biomass(kg/ha)	Biomass95%CL	BiomassDF	BiomassEstimation	BiomassNotes	Kingdom	Phylum	Subphylum	Superclass	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Genus	SpecificEpithet	NodeNotes
BSQ	18	18	1	adult	18.1	Suaeda	vascular plant	taxon	Genus		autotroph	free-living	free-living	autotroph		low	resident										2336			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Chenopodiaceae	Suaeda	spp.	
BSQ	19	19	1	adult	19.1	Arrowgrass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										27.333333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Juncaginaceae	Triglochin	concinnum	
BSQ	20	20	1	adult	20.1	Eelgrass	vascular plant	taxon	Species		autotroph	free-living	free-living	autotroph		low	resident										813.33333			quantification, estuary-wide sampling	Kuris et al. (2008)	Plantae				Angiospermae						Zosteraceae	Zostera	marina	
BSQ	21	21	1	adult	21.1	foraminiferan	protist	taxon	Species		feeding	free-living	free-living	predator		low	resident		2.43329e-5		10	species	volumetric				0.2954648			extrapolation from other estuary	CSM plankton cores, adjusted for habitat area	"Protozoa"	Foraminifera												in plankton samples
CSM	21	21	1	adult	21.1	foraminiferan	protist	taxon	Species		feeding	free-living	free-living	predator		low	resident		2.43329e-5		10	species	volumetric				0.1433138			quantification, limited sampling	csm plankton cores (5 channel and 1 pan site)	"Protozoa"	Foraminifera												in plankton samples
EPB	21	21	1	adult	21.1	foraminiferan	protist	taxon	Species		feeding	free-living	free-living	predator		low	resident		2.43329e-5		10	species	volumetric				0.3169104			extrapolation from other estuary	CSM plankton cores, adjusted for habitat area	"Protozoa"	Foraminifera												in plankton samples
EPB	22	22	1	adult	22.1	annelid	annelid	life stage	Species		feeding	free-living	free-living	predator		low	resident		0.00651882	0.00480078	13	population	individuals encountered during the random sampling described in Kuris et al. (2008)	45323.68	85669.1295	6	0.2154143	0.46129557	6	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta									
EPB	23	23	1	adult	23.1	annelid red	annelid	life stage	Species		feeding	free-living	free-living	predator		low	resident		0.00296524		1	population	individuals encountered during the random sampling described in Kuris et al. (2008)	26482.11	62620.2475	7	0.0785259	0.18568412	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta									
BSQ	24	24	1	adult	24.1	annelid unknown (green saccate thin skin)	annelid	life stage	Species		feeding	free-living	free-living	predator		low	resident		0.00911533	0.00373656	4	population	individuals encountered during the random sampling described in Kuris et al. (2008)	34391.62	81323.2643	7	0.3134911	0.74128855	7	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta									
CSM	25	25	1	adult	25.1	Capitella capitata	annelid	life stage	Species		feeding	free-living	free-living	detritivore		low	resident		0.00288468	0.00121467	75	population	individuals encountered during the random sampling described in Kuris et al. (2008)	900311.49	919906.184	5.7767887	2.6102455	2.74156457	5.95411787	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Annelida			Polychaeta						Capitellidae	Capitella	capitata	
