System	NodeID	SpeciesID	StageID	Stage	SpeciesID.StageID	WorkingName	OrganismalGroup	NodeType	Resolution	ResolutionNotes	Feeding	Lifestyle(stage)	Lifestyle(species)	ConsumerStrategy(stage)	HabitatAffiliation	Mobility	Residency	NativeStatus	BodySize(g)	BodySizeSD	BodySizeN	BodySizeEstimation	BodySizeNotes	Abundance(no./ha)	Abundance95%CL	AbundanceDF	Biomass(kg/ha)	Biomass95%CL	BiomassDF	BiomassEstimation	BiomassNotes	Kingdom	Phylum	Subphylum	Superclass	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Genus	SpecificEpithet	NodeNotes
CSM	291	245	1	adult	245.1	Himasthla rhigedana	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.002382			species	literature				4.425e-5			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Himasthla	rhigedana	
EPB	291	245	1	adult	245.1	Himasthla rhigedana	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.002382			species	literature				0.0000395			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Himasthla	rhigedana	
BSQ	292	246	1	adult	246.1	Himasthla B	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.001429			species	literature				2.075e-5			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Himasthla	B	
CSM	292	246	1	adult	246.1	Himasthla B	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.001429			species	literature				8.025e-5			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Himasthla	B	
EPB	292	246	1	adult	246.1	Himasthla B	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.001429			species	literature				3.32e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Himasthla	B	
BSQ	293	247	1	adult	247.1	Hysterolecitha trilocalis	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00172883			species	literature	29.12			5.0343e-5			quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Hemiuridae	Hysterolecitha	trilocalis	
CSM	293	247	1	adult	247.1	Hysterolecitha trilocalis	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00172883			species	literature				3.8353e-5			approximation, quantified ratio	relative abundance of parth to bsq parth)	Animalia	Platyhelminthes			Trematoda	Digenea					Hemiuridae	Hysterolecitha	trilocalis	
EPB	293	247	1	adult	247.1	Hysterolecitha trilocalis	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00172883			species	literature	1.16			2.0015e-6			quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Hemiuridae	Hysterolecitha	trilocalis	
BSQ	294	248	1	adult	248.1	Lecisthaster sp.	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					4.83625e-5		3	species	volumetric	987.15			4.774e-5			quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Lecisthasteridae	Lecisthaster	sp.	Probably L. minimus
EPB	294	248	1	adult	248.1	Lecisthaster sp.	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					4.83625e-5		3	species	volumetric	227.57			0.000011			quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Lecisthasteridae	Lecisthaster	sp.	Probably L. minimus
EPB	295	249	1	adult	249.1	lepocreadid	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					1.6742e-5			approximation	volumetric; literature, Lepocreadium setiferoides (Martin 1938)	57.57			3.86e-6			quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Lepocreadiidae			
BSQ	296	250	1	adult	250.1	Renicola sp.	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			approximation	set equal to  congener (renc)				4.25e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae	Renicola	sp.	
CSM	296	250	1	adult	250.1	Renicola sp.	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			approximation	set equal to  congener (renc)				0.0000105			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae	Renicola	sp.	
EPB	296	250	1	adult	250.1	Renicola sp.	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			approximation	set equal to  congener (renc)				1.0883e-5			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae	Renicola	sp.	
CSM	297	251	1	adult	251.1	mc aorta	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													6.0065e-9			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae			
EPB	298	252	1	adult	252.1	mc oval (u+i)	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													1.0024e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae			
EPB	299	253	1	adult	253.1	mc oval jelly	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													5.0107e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
BSQ	300	254	1	adult	254.1	mc sphere	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													0.000008			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae			
CSM	301	255	1	adult	255.1	mc unk acteo	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													6.5306e-8			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
BSQ	302	256	1	adult	256.1	mc unk Bittium	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													2.1443e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
BSQ	303	257	1	adult	257.1	mc unk lg-cirriformia	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													0.000007			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
EPB	304	258	1	adult	258.1	mc unk neo	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													2.4942e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
BSQ	305	259	1	adult	259.1	mc unk pericaridean	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													0.0000045			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
EPB	305	259	1	adult	259.1	mc unk pericaridean	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													1.3865e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
BSQ	306	260	1	adult	260.1	mc unk poly	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													0.0000015			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
EPB	306	260	1	adult	260.1	mc unk poly	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													3.3021e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
EPB	307	261	1	adult	261.1	mc unk-tagelus epb	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													5.106e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
BSQ	308	262	1	adult	262.1	mc vs	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													3.1975e-9			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
BSQ	309	263	1	adult	263.1	mega het	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													2.7909e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
EPB	310	264	1	adult	264.1	Acanthoparyphium	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													1.5873e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Acanthoparyphium		
BSQ	311	265	1	adult	265.1	Mesostephanus appendiculatus	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000052			species	literature				2.875e-5			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Cyathocotylidae	Mesostephanus	appendiculatus	
CSM	311	265	1	adult	265.1	Mesostephanus appendiculatus	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000052			species	literature				3.3241e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Cyathocotylidae	Mesostephanus	appendiculatus	
EPB	311	265	1	adult	265.1	Mesostephanus appendiculatus	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000052			species	literature				3.8168e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Cyathocotylidae	Mesostephanus	appendiculatus	
BSQ	312	266	1	adult	266.1	Parorchis acanthus	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.003253			species	literature				0.000002			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Philophthalmidae	Parorchis	acanthus	
CSM	312	266	1	adult	266.1	Parorchis acanthus	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.003253			species	literature				5.75e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Philophthalmidae	Parorchis	acanthus	
EPB	312	266	1	adult	266.1	Parorchis acanthus	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.003253			species	literature				1.2574e-5			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Philophthalmidae	Parorchis	acanthus	
CSM	313	267	1	adult	267.1	Parvatrema sp.	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000003			species	literature				6.203e-8			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Gymnophallidae	Parvatrema	sp.	
EPB	313	267	1	adult	267.1	Parvatrema sp.	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000003			species	literature				0.0000135			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Gymnophallidae	Parvatrema	sp.	
BSQ	314	268	1	adult	268.1	Phocitremoides ovale	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000007			species	volumetric; literature (Martin 1950)				0.000003			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Phocitremoides	ovale	
CSM	314	268	1	adult	268.1	Phocitremoides ovale	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000007			species	volumetric; literature (Martin 1950)				0.0000035			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Phocitremoides	ovale	
EPB	314	268	1	adult	268.1	Phocitremoides ovale	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000007			species	volumetric; literature (Martin 1950)				7.2538e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Phocitremoides	ovale	
BSQ	315	269	1	adult	269.1	Probolocoryphe species A	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00002			species	literature				0.000126			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae	Probolocoryphe	species A	
CSM	315	269	1	adult	269.1	Probolocoryphe species A	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00002			species	literature				0.000019			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae	Probolocoryphe	species A	
EPB	315	269	1	adult	269.1	Probolocoryphe species A	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00002			species	literature				0.000029			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae	Probolocoryphe	species A	
EPB	316	270	1	adult	270.1	Probolocoryphe species B	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00002			approximation	set equal to PROB				9.0738e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae	Probolocoryphe	species B	
BSQ	317	271	1	adult	271.1	Pygidiopsoides spindalis	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00004			species	volumetric; literature (Martin 1951)				3.6158e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Pygidiopsoides	spindalis	
CSM	317	271	1	adult	271.1	Pygidiopsoides spindalis	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00004			species	volumetric; literature (Martin 1951)				4.3119e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Pygidiopsoides	spindalis	
EPB	317	271	1	adult	271.1	Pygidiopsoides spindalis	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00004			species	volumetric; literature (Martin 1951)				0.000006			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Pygidiopsoides	spindalis	
BSQ	318	272	1	adult	272.1	Renicola buchanani	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			species	literature				2.3309e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae	Renicola	buchanani	
CSM	318	272	1	adult	272.1	Renicola buchanani	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			species	literature				0.0000105			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae	Renicola	buchanani	
EPB	318	272	1	adult	272.1	Renicola buchanani	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			species	literature				4.4266e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae	Renicola	buchanani	
BSQ	319	273	1	adult	273.1	Renicola cerithidicola	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			species	literature				7.5318e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae	Renicola	cerithidicola	
CSM	319	273	1	adult	273.1	Renicola cerithidicola	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			species	literature				1.183e-11			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae	Renicola	cerithidicola	
EPB	319	273	1	adult	273.1	Renicola cerithidicola	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			species	literature				0.0000041			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae	Renicola	cerithidicola	
BSQ	320	274	1	adult	274.1	renic	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			approximation	set equal to  congener (renc)				0.000004			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae			
CSM	320	274	1	adult	274.1	renic	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			approximation	set equal to  congener (renc)				0.000002			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae			
EPB	320	274	1	adult	274.1	renic	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000031			approximation	set equal to  congener (renc)				1.2732e-5			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Renicolidae			
BSQ	321	275	1	adult	275.1	small cyathocotylid	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000052			approximation	set equal to confamilial meso				2.475e-5			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Cyathocotylidae			
CSM	321	275	1	adult	275.1	small cyathocotylid	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000052			approximation	set equal to confamilial meso				0.0000045			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Cyathocotylidae			
EPB	321	275	1	adult	275.1	small cyathocotylid	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000052			approximation	set equal to confamilial meso				1.4283e-5			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Cyathocotylidae			
BSQ	322	276	1	adult	276.1	Maritrema sp.	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000028			approximation	average of several Maritrema from literature				0.000026			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae	Maritrema	sp.	
CSM	322	276	1	adult	276.1	Maritrema sp.	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000028			approximation	average of several Maritrema from literature				0.000026			extrapolation from other estuary	from csm	Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae	Maritrema	sp.	
EPB	322	276	1	adult	276.1	Maritrema sp.	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000028			approximation	average of several Maritrema from literature				0.000026			extrapolation from other estuary		Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae	Maritrema	sp.	
BSQ	323	277	1	adult	277.1	Stictodora hancocki	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000029			species	volumetric; literature (Martin 1950)				1.825e-5			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Stictodora	hancocki	
CSM	323	277	1	adult	277.1	Stictodora hancocki	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000029			species	volumetric; literature (Martin 1950)				0.000017			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Stictodora	hancocki	
EPB	323	277	1	adult	277.1	Stictodora hancocki	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.000029			species	volumetric; literature (Martin 1950)				8.2504e-6			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Stictodora	hancocki	
EPB	324	278	1	adult	278.1	Tubulovesicula	trematode	life stage	Species		feeding	infectious	infectious	macroparasite					0.00097193			species	volumetric	1531.20			0.0014882			quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Hemiuridae	Tubulovesicula		
BSQ	325	279	1	adult	279.1	unk a/sm meso	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													5.8326e-7			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Cyathocotylidae			
CSM	325	279	1	adult	279.1	unk a/sm meso	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													6.1846e-8			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea					Cyathocotylidae			
CSM	326	280	1	adult	280.1	unk c	trematode	life stage	Species		feeding	infectious	infectious	macroparasite													3.379e-12			quantified apportionment		Animalia	Platyhelminthes			Trematoda	Digenea								
EPB	327	233	2	parthenitae	233.2	Acanthoparyphium spinulosum	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.02545386	0.00769152	20	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	17432.25	11799.1692	7.64181838	0.5333951	0.4263422	7.0188712	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Acanthoparyphium	spinulosum	
CSM	327	233	2	parthenitae	233.2	Acanthoparyphium spinulosum	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.04343062	0.01194345	15	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	2535.13	1788.64865	10.8457054	0.1057794	0.06959916	10.5599803	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Acanthoparyphium	spinulosum	
BSQ	327	233	2	parthenitae	233.2	Acanthoparyphium spinulosum	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.03419211	0.01538008	19	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	4917.62	4510.73002	4.51089355	0.1948366	0.18813051	4.07628864	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Acanthoparyphium	spinulosum	
BSQ	328	234	2	parthenitae	234.2	microphallid-assiminea	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.0004309			approximation	set equal to csm				0.0002637			approximation, quantified ratio	applied relative abundance of mcercs compared to csm)	Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae			
CSM	328	234	2	parthenitae	234.2	microphallid-assiminea	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.0004309		1	approximation	applied average proportional mass of 15 trematode species in Hechinger et al (2009) to local host mass frequency distributions	147519.58	409580.009	4	0.0635665	0.1764888	4	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae			
EPB	328	234	2	parthenitae	234.2	microphallid-assiminea	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.0004309			approximation	set equal to csm				0.7708797			approximation, quantified ratio	applied relative abundance of mcercs compared to csm)	Animalia	Platyhelminthes			Trematoda	Digenea					Microphallidae			
EPB	329	235	2	parthenitae	235.2	Austrobilharzia sp.	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.02893559	0.00830478	20	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	5813.57	4511.30793	7.01496224	0.2140569	0.18912234	7.00401469	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Schistosomatidae	Austrobilharzia	sp.	
BSQ	329	235	2	parthenitae	235.2	Austrobilharzia sp.	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.03963333	0.0129482	19	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	660.23	801.533684	4.13676002	0.0288831	0.03772131	4.01763198	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Schistosomatidae	Austrobilharzia	sp.	
CSM	329	235	2	parthenitae	235.2	Austrobilharzia sp.	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.04890922	0.01304819	15	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	533.49	387.710888	6.92004934	0.0271277	0.02026085	6.93163371	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Schistosomatidae	Austrobilharzia	sp.	
EPB	330	236	2	parthenitae	236.2	Austrobilharzia sp.	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.09962794	0.02100379	6	approximation	applied average proportional mass of 15 trematode species in Hechinger et al (2009) to local host mass frequency distributions	6468.37	14117.2517	7.00000022	0.6232879	1.34818712	7.0000001	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Schistosomatidae	Austrobilharzia	sp.	
EPB	331	237	2	parthenitae	237.2	Catatropis johnstoni	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.02296597	0.00648254	20	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	2723.98	1969.31208	14.6823242	0.0603999	0.04952304	9.23967581	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Notocotylidae	Catatropis	johnstoni	
BSQ	331	237	2	parthenitae	237.2	Catatropis johnstoni	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.02838782	0.01211641	19	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	8645.06	12031.0888	4.00163923	0.339564	0.4546952	4.00037627	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Notocotylidae	Catatropis	johnstoni	
CSM	331	237	2	parthenitae	237.2	Catatropis johnstoni	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.03948466	0.01320705	15	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	487.43	510.571341	7.03049928	0.0140477	0.01251799	7.0428428	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Notocotylidae	Catatropis	johnstoni	
EPB	332	238	2	parthenitae	238.2	Cloacitrema michiganiensis	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.03544256	0.01026646	20	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	7405.03	9494.68903	4.21496636	0.3184336	0.39675242	4.28822679	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Philophthalmidae	Cloacitrema	michiganiensis	
CSM	332	238	2	parthenitae	238.2	Cloacitrema michiganiensis	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.05809193	0.01448815	15	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	1546.23	1464.37319	5.96138636	0.0865179	0.08560981	4.96468624	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Philophthalmidae	Cloacitrema	michiganiensis	
BSQ	332	238	2	parthenitae	238.2	Cloacitrema michiganiensis	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.04840876	0.01560866	19	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	1464.38	1660.58441	4.01981256	0.0795962	0.09019758	4.00744433	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Philophthalmidae	Cloacitrema	michiganiensis	
EPB	333	239	2	parthenitae	239.2	Euhaplorchis californiensis	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.02537377	0.00684645	20	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	31915.42	18505.7104	7.14530092	0.83974	0.52737995	7.07620234	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Euhaplorchis	californiensis	
BSQ	333	239	2	parthenitae	239.2	Euhaplorchis californiensis	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.03361015	0.00927442	19	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	24295.87	18724.2651	4.97356534	0.9385376	0.86895131	4.25289508	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Euhaplorchis	californiensis	
CSM	333	239	2	parthenitae	239.2	Euhaplorchis californiensis	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.04177776	0.01040675	15	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	26028.29	27552.4361	7.00488801	0.991489	0.97833626	7.01782455	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Heterophyidae	Euhaplorchis	californiensis	
EPB	334	281	2	parthenitae	281.2	fellodistomid	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.52372467	0.41769135	12	population	applied average proportional mass of 15 trematode species in Hechinger et al (2009) to local host mass frequency distributions	3951.57	2642.94717	7.01326613	1.7506973	1.02274997	7.01119461	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Fellodistomidae			
EPB	335	245	2	parthenitae	245.2	Himasthla rhigedana	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.03324752	0.01054636	20	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	51258.46	28656.453	4.22525541	1.7491595	1.06587827	4.0887943	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Himasthla	rhigedana	
CSM	335	245	2	parthenitae	245.2	Himasthla rhigedana	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.0536798	0.01328424	15	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	7592.15	7623.5532	10.5147268	0.4043369	0.40130443	8.46669257	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Himasthla	rhigedana	
BSQ	335	245	2	parthenitae	245.2	Himasthla rhigedana	trematode	life stage	Species		feeding	infectious	infectious	parasitic castrator					0.04403759	0.02085184	19	population	applied proportional mass (Hechinger et al 2009) to local host mass frequency distributions	9310.93	6689.42274	4.00001575	0.5882074	0.38375154	4.00000172	quantification, estuary-wide sampling	Kuris et al. (2008)	Animalia	Platyhelminthes			Trematoda	Digenea					Echinostomatidae	Himasthla	rhigedana	
