"","Lepidoptera Family","Lepidoptera Name","Hostplant Family","Hostplant Name","Source","URL"
"9261","Nymphalidae","Acraea natalica","Passifloraceae","Passiflora caerulea","BHL","http://www.biodiversitylibrary.org/page/7072874"
"9262","Nymphalidae","Acraea natalica","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072887"
"9263","Nymphalidae","Acraea natalica","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072874"
"2656","Nymphalidae","Acraea neobule","Passifloraceae","Adenia gummifera","EOL","http://eol.org/data_objects/21514948"
"2657","Nymphalidae","Acraea neobule","Passifloraceae","Passiflora edulis","EOL","http://eol.org/data_objects/21514948"
"2658","Nymphalidae","Acraea neobule","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/21514948"
"2659","Nymphalidae","Acraea neobule","Violaceae","Hybanthus","EOL","http://eol.org/data_objects/21514948"
"2660","Nymphalidae","Acraea neobule","Passifloraceae","Passiflora","EOL","http://eol.org/data_objects/21514948"
"12229","Nymphalidae","Acraea neobule","Passifloraceae","Passiflora edulis","BHL","http://www.biodiversitylibrary.org/page/7072887"
"12230","Nymphalidae","Acraea neobule","Passifloraceae","Passiflora edulis","BHL","http://www.biodiversitylibrary.org/page/7072874"
"12231","Nymphalidae","Acraea neobule","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072887"
"12232","Nymphalidae","Acraea neobule","Passifloraceae","Passiflora","BHL","http://www.biodiversitylibrary.org/page/7072874"
"2714","Nymphalidae","Acraea nohara","Passifloraceae","Basananthe sandersonii","EOL","http://eol.org/data_objects/19223837"
"2715","Nymphalidae","Acraea nohara","Passifloraceae","Basananthe","EOL","http://eol.org/data_objects/19223837"
"2731","Nymphalidae","Acraea oncaea","Salicaceae","Xylotheca kraussiana","EOL","http://eol.org/data_objects/26520832"
"2732","Nymphalidae","Acraea oncaea","Passifloraceae","Adenia","EOL","http://eol.org/data_objects/26520832"
"2733","Nymphalidae","Acraea oncaea","Salicaceae","Xylotheca","EOL","http://eol.org/data_objects/26520832"
"12725","Nymphalidae","Acraea oncaea","Salicaceae","Oncoba","BHL","http://www.biodiversitylibrary.org/page/7072887"
"12726","Nymphalidae","Acraea oncaea","Salicaceae","Oncoba","BHL","http://www.biodiversitylibrary.org/page/7072873"
"2756","Nymphalidae","Acraea parrhasia","Urticaceae","Urera","EOL","http://eol.org/data_objects/20812912"
"14340","Nymphalidae","Acraea parrhasia","Urticaceae","Urera","BHL","http://www.biodiversitylibrary.org/page/14687709"
"2709","Nymphalidae","Acraea petraea","Salicaceae","Xylotheca kraussiana","EOL","http://eol.org/data_objects/19223838"
"2710","Nymphalidae","Acraea petraea","Salicaceae","Xylotheca","EOL","http://eol.org/data_objects/19223838"
"2771","Nymphalidae","Acraea pseudatolmis","Turneraceae","Tricliceras longipedunculatum","EOL","http://eol.org/data_objects/21646511"
"2772","Nymphalidae","Acraea pseudatolmis","Turneraceae","Tricliceras","EOL","http://eol.org/data_objects/21646511"
"2737","Nymphalidae","Acraea pseudegina","no especificado","Cephalomma","EOL","http://eol.org/data_objects/21515444"
