ID,Common_Name,Scientific_Name,Taxonomy,Longitude,Latitude,Altitude_min_m,Altitude_mean_m,Altitude_max_m,Location_Region,Location_Specific,Habitat_type,Observation_Month_Begin,Observation_Year_Begin,Observation_Month_End,Observation_Year_End,Observation_Season,Prey_Kingdom,Prey_Phylum,Prey_Class,Prey_Order,Prey_Suborder,Prey_Family,Prey_Genus,Prey_Scientific_Name,Prey_Stage,Prey_Part,Prey_Common_Name,Fraction_Diet_By_Wt_or_Vol,Fraction_Diet_By_Items,Fraction_Occurrence,Fraction_Diet_Unspecified,Item Sample Size,Bird Sample size,Sites,Study Type,Notes,Source
23,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Orthoptera,,gryllidae,,,adult,,crickets,trace,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
24,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Psocoptera,,psocidae,,,adult,,bark lice,0.011,,0.1900,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
25,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hemiptera,,Pentatomidae,,,adult,,stink bugs,trace,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
26,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hemiptera,,Tingidae,,,adult,,lace bugs,0.056,,,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
27,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hemiptera,,unknown,,,adult,,,trace,,,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
28,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Homoptera,,coccidae,,,adult,,wax scales,0.014,,0.1430,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
29,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Homoptera,,aphididae,,,adult,,aphids,trace,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
30,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Homoptera,,cercopidae,,,adult,,spittle bugs,0.003,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
31,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Homoptera,,cicadellidae,,,adult,,leaf hoppers,0.073,,0.2830,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
32,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Homoptera,,fulgoridae,,,adult,,planthoppers,trace,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
33,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hymenoptera,,Formicidae,,,adult,,ants,trace,,0.0950,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
34,Pine warbler,Setophaga pinus,"AOU 7th ed., 52nd supplement",,,,,,Florida,Jacksonville Beach,long-leaf and loblolly pine forest,5,1972,7,1973,multiple,Animalia,Arthropoda,Insecta,Hymenoptera,,vespidae,,,adult,,paper wasps,0.006,,0.0480,,,21,1,Emetic,,"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."
