PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
1	0	0	1	91	400	67	280	67.1	280.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	6	68	6	68.1	6.1	1	predation	observed							
1	1	0	1	92	12	68	12	68.1	12.1	1	predation	observed							
1	1	0	1	92	353	68	233	68.1	233.3	15	trophic transmission	inferred							
1	1	0	1	92	354	68	234	68.1	234.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	355	68	235	68.1	235.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	357	68	237	68.1	237.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	358	68	238	68.1	238.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	359	68	239	68.1	239.3	16	predation on free-living non-feeding stage	observed							
1	0	0	1	92	360	68	240	68.1	240.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	364	68	244	68.1	244.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	365	68	245	68.1	245.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	366	68	246	68.1	246.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	367	68	247	68.1	247.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	369	68	250	68.1	250.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	92	370	68	251	68.1	251.3	16	predation on free-living non-feeding stage	inferred							
1	0	0	1	92	374	68	255	68.1	255.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	384	68	265	68.1	265.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	385	68	266	68.1	266.3	16	predation on free-living non-feeding stage	inferred							
1	1	0	1	92	386	68	267	68.1	267.3	16	predation on free-living non-feeding stage	inferred							
