PresentAtCSM	PresentAtEPB	PresentAtBSQ	PresentAtAnyEstuary	ConsumerNodeID	ResourceNodeID	ConsumerSpeciesID	ResourceSpeciesID	ConsumerSpeciesID.StageID	ResourceSpeciesID.StageID	LinkTypeID	LinkType	LinkEvidence	LinkEvidenceNotes	LinkFrequency	LinkN	DietFraction	ConsumptionRate	VectorFrom	PreyFrom
0	0	1	1	45	360	45	240	45.1	240.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	364	45	244	45.1	244.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	365	45	245	45.1	245.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	366	45	246	45.1	246.3	15	trophic transmission	inferred							
0	1	1	1	45	367	45	247	45.1	247.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	368	45	248	45.1	248.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	45	373	45	254	45.1	254.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	45	375	45	256	45.1	256.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	45	376	45	257	45.1	257.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	45	378	45	259	45.1	259.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	45	379	45	260	45.1	260.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	45	381	45	262	45.1	262.3	16	predation on free-living non-feeding stage	modeled							
0	0	1	1	45	382	45	263	45.1	263.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	45	384	45	265	45.1	265.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	385	45	266	45.1	266.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	387	45	268	45.1	268.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	388	45	269	45.1	269.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	390	45	271	45.1	271.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	391	45	272	45.1	272.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	392	45	273	45.1	273.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	394	45	275	45.1	275.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	395	45	276	45.1	276.3	16	predation on free-living non-feeding stage	modeled							
0	1	1	1	45	396	45	277	45.1	277.3	16	predation on free-living non-feeding stage	inferred							
0	0	1	1	45	399	45	279	45.1	279.3	16	predation on free-living non-feeding stage	inferred							
0	1	1	1	45	413	45	244	45.1	244.4	14	concurrent predation on symbionts	inferred							
0	1	1	1	45	415	45	247	45.1	247.4	14	concurrent predation on symbionts	inferred							
0	1	1	1	45	416	45	248	45.1	248.4	14	concurrent predation on symbionts	inferred							
0	1	1	1	45	454	45	283	45.1	283.2	14	concurrent predation on symbionts	inferred							
0	1	1	1	45	456	45	287	45.1	287.2	14	concurrent predation on symbionts	inferred							
0	1	1	1	45	457	45	288	45.1	288.2	14	concurrent predation on symbionts	inferred							
0	1	1	1	45	459	45	290	45.1	290.2	14	concurrent predation on symbionts	inferred							
0	1	1	1	45	479	45	293	45.1	293.2	14	concurrent predation on symbionts	inferred							
0	0	1	1	45	480	45	294	45.1	294.2	14	concurrent predation on symbionts	inferred							
0	1	1	1	45	497	45	310	45.1	310.2	14	concurrent predation on symbionts	inferred							
0	0	1	1	49	12	24	12	24.2	12.1	1	predation	speculated	Assigned planktotrophy, but is possibly non-feeding						
1	0	1	1	50	12	25	12	25.2	12.1	1	predation	inferred	Carson & Hentschel 2006						
0	1	1	1	51	12	26	12	26.2	12.1	1	predation	speculated	Assigned planktotrophy, but is possibly non-feeding as family has both feeding and non-feeding (Rouse & Pleijel 2001, Carson & Hentschel 2006)						
